"piam","inms","weight","factor"
"Land Cover|Cropland","Total","NULL","1"
"Land Cover|Pastures and Rangelands","Total","NULL","1"
"Land Cover|Urban Area","Total","NULL","1"
"Land Cover|Managed Forest","Total","NULL","1"
"Land Cover|Primary Forest","Total","NULL","1"
"Land Cover|Secondary Forest","Total","NULL","1"
"Land Cover|Other Land","Total","NULL","1"
"Land Cover|Cropland","Cropland","NULL","1"
"Land Cover|Pastures and Rangelands","Pasture","NULL","1"
"Land Cover|Urban Area","NonAgriculturalLand","NULL","1"
"Land Cover|Managed Forest","NonAgriculturalLand","NULL","1"
"Land Cover|Primary Forest","NonAgriculturalLand","NULL","1"
"Land Cover|Secondary Forest","NonAgriculturalLand","NULL","1"
"Land Cover|Other Land","NonAgriculturalLand","NULL","1"
"Land Cover|Urban Area","NonAgriculturalLand_Builtup","NULL","1"
"Land Cover|Managed Forest","NonAgriculturalLand_Forest","NULL","1"
"Land Cover|Primary Forest","NonAgriculturalLand_Forest","NULL","1"
"Land Cover|Secondary Forest","NonAgriculturalLand_Forest","NULL","1"
"Land Cover|Other Land","NonAgriculturalLand_OtherLand","NULL","1"
"Cropland Budget|Atmospheric Deposition","AtmosphericDeposition","NULL","1"
"Cropland Budget|Biological Fixation Symbiotic Crops","BiologicalFixation","NULL","1"
"Cropland Budget|Biological Fixation Freeliving Microorganisms","BiologicalFixation","NULL","1"
"Cropland Budget|Fertilizer","Fertilizer","NULL","1"
"Cropland Budget|Manure","ManureRecycledFromConfinement","NULL","1"
"Cropland Budget|Manure From Stubble Grazing","ManureRecycledFromConfinement","NULL","1"
"Cropland Budget|Recycled Aboveground Crop Residues","RecycledAbovegroundResidues","NULL","1"
"Cropland Budget|Ash from Burned Crop Residues","RecycledAbovegroundResidues","NULL","1"
"Cropland Budget|Recycled Belowground Crop Residues","RecycledBelowgroundResidues","NULL","1"
"Cropland Budget|Seed","Seed","NULL","1"
"Cropland Budget|Harvested Crops","HarvestedCrops","NULL","1"
"Cropland Budget|Aboveground Crop Residues","AbovegroundCropResidues","NULL","1"
"Cropland Budget|Belowground Crop Residues","BelowgroundCropResidues","NULL","1"
"Cropland Budget|Nutrient Surplus","NutrientSurplus","NULL","1"
"Cropland Budget|Balanceflow","Balanceflow","NULL","1"
"Cropland Budget|Soil Organic Matter","SoilOrganicMatter","NULL","1"
"Cropland Budget|NH3-N","NH3","NULL","1"
"Cropland Budget|N2O-N","N2O","NULL","1"
"Cropland Budget|NO2-N","NO2","NULL","1"
"Cropland Budget|NO3-N","NO3","NULL","1"
"Pasture Budget|Atmospheric Deposition","AtmosphericDeposition","NULL","1"
"Pasture Budget|Biological Fixation Freeliving Microorganisms","BiologicalFixation","NULL","1"
"Pasture Budget|Fertilizer","Fertilizer","NULL","1"
"Pasture Budget|Manure From Grazing","Manure","NULL","1"
"Pasture Budget|Harvested Crops","Withdrawals","NULL","1"
"Pasture Budget|Nutrient Surplus","NutrientSurplus","NULL","1"
"Pasture Budget|NH3-N","NH3","NULL","1"
"Pasture Budget|N2O-N","N2O","NULL","1"
"Pasture Budget|NO2-N","NO2","NULL","1"
"Pasture Budget|NO3-N","NO3","NULL","1"
"Manure","total","NULL","1"
"Manure|+|Manure Collected As Fuel","otherUse","NULL","1"
"Manure|Manure In Confinements|+|Losses","storageLoss","NULL","1"
"Manure|+|Manure From Grazing","toPasture","NULL","1"
"Manure|+|Manure From Stubble Grazing","toCropland","NULL","1"
"Manure|Manure In Confinements|+|Recycled","toCropland","NULL","1"
"Manure|Manure In Confinements|Losses|NH3-N","NH3","NULL","1"
"Manure|Manure In Confinements|Losses|N2O-N|Direct","N2O","NULL","1"
"Manure|Manure In Confinements|Losses|NO2-N","NO2","NULL","1"
"Manure|Manure In Confinements|Losses|NO3-N","NO3","NULL","1"
"Nonagland Budget|Atmospheric Deposition","AtmosphericDeposition","NULL","1"
"Nonagland Budget|Biological Fixation Freeliving Microorganisms","BiologicalFixation","NULL","1"
"Nonagland Budget|Nutrient Surplus","NutrientSurplus","NULL","1"