magpie;agmip;item;unit;weight;factor
Demand|Feed|Feed for Eggs|Crops|Other crops|+|Potatoes (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Crops|Other crops|+|Pulses (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Crops|Other crops|+|Tropical roots (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Alcoholic beverages (Mt DM/yr);FNRM;WHT;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Brans (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Cotton lint (Mt DM/yr);FNRM;PFB;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Distillers grains (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Ethanol (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Microbial protein (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Molasses (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Oilcakes (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Oils (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Eggs|Secondary products|+|Sugar (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|+|Crop residues (Mt DM/yr);FNRM;OFD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|+|Crops (Mt DM/yr);FNRM;CRP;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|+|Fish (Mt DM/yr);FNRM;FSH;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|+|Forage (Mt DM/yr);FNRM;OFD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|+|Pasture (Mt DM/yr);FNRM;GRS;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|+|Secondary products (Mt DM/yr);FNRM;CRP;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|+|Sugar crops (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Cereals|+|Maize (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Cereals|+|Rice (Mt DM/yr);FNRM;RIC;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Cereals|+|Temperate cereals (Mt DM/yr);FNRM;WHT;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Cereals|+|Tropical cereals (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Oil crops|+|Cotton seed (Mt DM/yr);FNRM;PFB;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Oil crops|+|Groundnuts (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Oil crops|+|Oilpalms (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Oil crops|+|Other oil crops incl rapeseed (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Oil crops|+|Soybean (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Oil crops|+|Sunflower (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Other crops|+|Fruits Vegetables Nuts (Mt DM/yr);FNRM;VFN;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Other crops|+|Potatoes (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Other crops|+|Pulses (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Crops|Other crops|+|Tropical roots (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Alcoholic beverages (Mt DM/yr);FNRM;WHT;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Brans (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Cotton lint (Mt DM/yr);FNRM;PFB;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Distillers grains (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Ethanol (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Microbial protein (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Molasses (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Oilcakes (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Oils (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Monogastric meat|Secondary products|+|Sugar (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|+|Crop residues (Mt DM/yr);FNRM;OFD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|+|Crops (Mt DM/yr);FNRM;CRP;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|+|Fish (Mt DM/yr);FNRM;FSH;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|+|Forage (Mt DM/yr);FNRM;OFD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|+|Pasture (Mt DM/yr);FNRM;GRS;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|+|Secondary products (Mt DM/yr);FNRM;CRP;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|+|Sugar crops (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Cereals|+|Maize (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Cereals|+|Rice (Mt DM/yr);FNRM;RIC;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Cereals|+|Temperate cereals (Mt DM/yr);FNRM;WHT;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Cereals|+|Tropical cereals (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Oil crops|+|Cotton seed (Mt DM/yr);FNRM;PFB;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Oil crops|+|Groundnuts (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Oil crops|+|Oilpalms (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Oil crops|+|Other oil crops incl rapeseed (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Oil crops|+|Soybean (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Oil crops|+|Sunflower (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Other crops|+|Fruits Vegetables Nuts (Mt DM/yr);FNRM;VFN;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Other crops|+|Potatoes (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Other crops|+|Pulses (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Crops|Other crops|+|Tropical roots (Mt DM/yr);FNRM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Alcoholic beverages (Mt DM/yr);FNRM;WHT;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Brans (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Cotton lint (Mt DM/yr);FNRM;PFB;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Distillers grains (Mt DM/yr);FNRM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Ethanol (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Microbial protein (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Molasses (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Oilcakes (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Oils (Mt DM/yr);FNRM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Poultry meat|Secondary products|+|Sugar (Mt DM/yr);FNRM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|+|Crop residues (Mt DM/yr);FRUM;OFD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|+|Crops (Mt DM/yr);FRUM;CRP;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|+|Fish (Mt DM/yr);FRUM;FSH;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|+|Forage (Mt DM/yr);FRUM;OFD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|+|Pasture (Mt DM/yr);FRUM;GRS;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|+|Secondary products (Mt DM/yr);FRUM;CRP;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|+|Sugar crops (Mt DM/yr);FRUM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Cereals|+|Maize (Mt DM/yr);FRUM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Cereals|+|Rice (Mt DM/yr);FRUM;RIC;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Cereals|+|Temperate cereals (Mt DM/yr);FRUM;WHT;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Cereals|+|Tropical cereals (Mt DM/yr);FRUM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Oil crops|+|Cotton seed (Mt DM/yr);FRUM;PFB;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Oil crops|+|Groundnuts (Mt DM/yr);FRUM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Oil crops|+|Oilpalms (Mt DM/yr);FRUM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Oil crops|+|Other oil crops incl rapeseed (Mt DM/yr);FRUM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Oil crops|+|Soybean (Mt DM/yr);FRUM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Oil crops|+|Sunflower (Mt DM/yr);FRUM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Other crops|+|Fruits Vegetables Nuts (Mt DM/yr);FRUM;VFN;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Other crops|+|Potatoes (Mt DM/yr);FRUM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Other crops|+|Pulses (Mt DM/yr);FRUM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Crops|Other crops|+|Tropical roots (Mt DM/yr);FRUM;OCR;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Alcoholic beverages (Mt DM/yr);FRUM;WHT;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Brans (Mt DM/yr);FRUM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Cotton lint (Mt DM/yr);FRUM;PFB;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Distillers grains (Mt DM/yr);FRUM;CGR;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Ethanol (Mt DM/yr);FRUM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Microbial protein (Mt DM/yr);FRUM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Molasses (Mt DM/yr);FRUM;SGC;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Oilcakes (Mt DM/yr);FRUM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Oils (Mt DM/yr);FRUM;OSD;1000 t dm;NULL;1000
Demand|Feed|Feed for Ruminant meat|Secondary products|+|Sugar (Mt DM/yr);FRUM;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Alcoholic beverages (Mt DM/yr);CONS;WHT;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Alcoholic beverages (Mt DM/yr);FEED;WHT;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Brans (Mt DM/yr);CONS;CGR;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Brans (Mt DM/yr);FEED;CGR;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Cotton lint (Mt DM/yr);CONS;PFB;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Cotton lint (Mt DM/yr);FEED;PFB;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Distillers grains (Mt DM/yr);CONS;CGR;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Distillers grains (Mt DM/yr);FEED;CGR;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Ethanol (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Ethanol (Mt DM/yr);FEED;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Microbial protein (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Microbial protein (Mt DM/yr);FEED;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Molasses (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Molasses (Mt DM/yr);FEED;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Oilcakes (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Oilcakes (Mt DM/yr);FEED;OSD;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Oils (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Oils (Mt DM/yr);FEED;OSD;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Sugar (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Feed|Secondary products|+|Sugar (Mt DM/yr);FEED;SGC;1000 t dm;NULL;1000
Demand|Food|+|Crops (Mt DM/yr);CONS;CRP;1000 t dm;NULL;1000
Demand|Food|+|Crops (Mt DM/yr);FOOD;CRP;1000 t dm;NULL;1000
Demand|Food|+|Fish (Mt DM/yr);CONS;AGR;1000 t dm;NULL;-1000
Demand|Food|+|Fish (Mt DM/yr);FOOD;AGR;1000 t dm;NULL;-1000
Demand|Food|+|Fish (Mt DM/yr);CONS;FSH;1000 t dm;NULL;1000
Demand|Food|+|Fish (Mt DM/yr);FOOD;FSH;1000 t dm;NULL;1000
Demand|Food|+|Livestock products (Mt DM/yr);CONS;LSP;1000 t dm;NULL;1000
Demand|Food|+|Livestock products (Mt DM/yr);FOOD;LSP;1000 t dm;NULL;1000
Demand|Food|+|Secondary products (Mt DM/yr);CONS;CRP;1000 t dm;NULL;1000
Demand|Food|+|Secondary products (Mt DM/yr);FOOD;CRP;1000 t dm;NULL;1000
Demand|Food|Crops|+|Sugar crops (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Food|Crops|+|Sugar crops (Mt DM/yr);FOOD;SGC;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Maize (Mt DM/yr);CONS;CGR;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Maize (Mt DM/yr);FOOD;CGR;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Rice (Mt DM/yr);CONS;RIC;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Rice (Mt DM/yr);FOOD;RIC;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Temperate cereals (Mt DM/yr);CONS;WHT;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Temperate cereals (Mt DM/yr);FOOD;WHT;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Tropical cereals (Mt DM/yr);CONS;CGR;1000 t dm;NULL;1000
Demand|Food|Crops|Cereals|+|Tropical cereals (Mt DM/yr);FOOD;CGR;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Cotton seed (Mt DM/yr);CONS;PFB;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Cotton seed (Mt DM/yr);FOOD;PFB;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Groundnuts (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Groundnuts (Mt DM/yr);FOOD;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Oilpalms (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Oilpalms (Mt DM/yr);FOOD;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Other oil crops incl rapeseed (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Other oil crops incl rapeseed (Mt DM/yr);FOOD;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Soybean (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Soybean (Mt DM/yr);FOOD;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Sunflower (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Oil crops|+|Sunflower (Mt DM/yr);FOOD;OSD;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Fruits Vegetables Nuts (Mt DM/yr);CONS;VFN;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Fruits Vegetables Nuts (Mt DM/yr);FOOD;VFN;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Potatoes (Mt DM/yr);CONS;OCR;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Potatoes (Mt DM/yr);FOOD;OCR;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Pulses (Mt DM/yr);CONS;OCR;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Pulses (Mt DM/yr);FOOD;OCR;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Tropical roots (Mt DM/yr);CONS;OCR;1000 t dm;NULL;1000
Demand|Food|Crops|Other crops|+|Tropical roots (Mt DM/yr);FOOD;OCR;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Dairy (Mt DM/yr);CONS;DRY;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Dairy (Mt DM/yr);FOOD;DRY;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Eggs (Mt DM/yr);CONS;NRM;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Eggs (Mt DM/yr);FOOD;NRM;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Monogastric meat (Mt DM/yr);CONS;NRM;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Monogastric meat (Mt DM/yr);FOOD;NRM;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Poultry meat (Mt DM/yr);CONS;NRM;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Poultry meat (Mt DM/yr);FOOD;NRM;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Ruminant meat (Mt DM/yr);CONS;RUM;1000 t dm;NULL;1000
Demand|Food|Livestock products|+|Ruminant meat (Mt DM/yr);FOOD;RUM;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Alcoholic beverages (Mt DM/yr);CONS;WHT;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Alcoholic beverages (Mt DM/yr);FOOD;WHT;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Brans (Mt DM/yr);CONS;CGR;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Brans (Mt DM/yr);FOOD;CGR;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Cotton lint (Mt DM/yr);CONS;PFB;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Cotton lint (Mt DM/yr);FOOD;PFB;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Distillers grains (Mt DM/yr);CONS;CGR;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Distillers grains (Mt DM/yr);FOOD;CGR;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Ethanol (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Ethanol (Mt DM/yr);FOOD;SGC;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Microbial protein (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Microbial protein (Mt DM/yr);FOOD;SGC;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Molasses (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Molasses (Mt DM/yr);FOOD;SGC;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Oilcakes (Mt DM/yr);CONS;OSD;1000 t dm;NULL;1000
Demand|Food|Secondary products|+|Oilcakes (Mt DM/yr);FOOD;OSD;1000 t dm;NULL;1000
